Company Name,Batch,YC Profile URL,Website,Description,Status,Industries,Team Size,Location
CrowdVolt,W24,https://www.ycombinator.com/companies/crowdvolt,https://crowdvolt.com/,The integration layer for live events infrastructure ,Active,Consumer,8,"New York, NY, USA"
kater.ai,W24,https://www.ycombinator.com/companies/kater-ai,https://www.kater.ai,Deliver complete data analysis from a single question,Active,B2B; Analytics,3,"San Francisco, CA, USA"
Mathos,W24,https://www.ycombinator.com/companies/mathos,https://info.mathos.ai/,Ultimate AI Math Problem Solver to Revolutionize Personalized Learning,Active,Education,5,"Santa Clara, CA, USA"
Tower,W24,https://www.ycombinator.com/companies/tower,https://withtower.com,M&A due diligence platform powered by AI,Active,B2B; Legal,2,"San Francisco, CA, USA"
Quivr,W24,https://www.ycombinator.com/companies/quivr,https://www.quivr.app/,AI-powered auto-resolutions and reply suggestions for customer…,Active,B2B; Productivity,5,"Paris, France"
Dragoneye,W24,https://www.ycombinator.com/companies/dragoneye,https://dragoneye.ai/,Custom video detection models in less than 5 minutes,Active,"B2B; Engineering, Product and Design",2,"New York, NY, USA"
renderlet,W24,https://www.ycombinator.com/companies/renderlet,http://renderlet.com,Build interactive applications that run anywhere,Active,"B2B; Engineering, Product and Design",2,"Broad St, New York, NY, USA"
Latted,W24,https://www.ycombinator.com/companies/latted,https://latted.com,A Unified Editor For AI Video,Active,"B2B; Engineering, Product and Design",2,"San Francisco, CA, USA"
The New Money Company,W24,https://www.ycombinator.com/companies/the-new-money-company,https://newmoneycompany.com,Invoicing that pays you even if your buyer doesn’t,Active,Fintech; Payments,4,"San Francisco, CA, USA"
Forge,W24,https://www.ycombinator.com/companies/forge,https://www.forgehq.com/,Getting companies refunds on tariffs & duties,Active,B2B; Supply Chain and Logistics,3,"New York, NY, USA"
Integuru,W24,https://www.ycombinator.com/companies/integuru,https://www.integuru.ai,Integrate with any website via network requests,Active,"B2B; Engineering, Product and Design",4,"San Francisco, CA, USA"
VoxOps AI,W24,https://www.ycombinator.com/companies/voxops-ai,https://www.voxopsai.com/,Voice AI for Automotive,Active,B2B,6,"London, UK"
Granza Bio,W24,https://www.ycombinator.com/companies/granza-bio,https://www.granzabio.com/,Reprogramming Immunity for Target-Specific Medicines,Active,Healthcare; Therapeutics,7,"San Francisco, CA, USA"
Haplotype Labs,W24,https://www.ycombinator.com/companies/haplotype-labs,https://www.haplotypelabs.com/,Personalized prevention using genetics and AI,Active,Healthcare; Diagnostics,1,
Healia,W24,https://www.ycombinator.com/companies/healia,https://www.healiahealth.com/,Modern health insurance for dual income families,Active,Fintech; Insurance,15,"Columbus, OH, USA"
TrueClaim,W24,https://www.ycombinator.com/companies/trueclaim,https://www.trytrueclaim.com,"Transparent, AI-powered healthcare TPA.",Active,Healthcare,8,"San Francisco, CA, USA"
CoCrafter,W24,https://www.ycombinator.com/companies/cocrafter,https://cocrafter.com/,B2B construction marketplace to match contractors and subcontractors.,Active,Real Estate and Construction; Construction,9,"Munich, Germany"
Reform,W24,https://www.ycombinator.com/companies/reform,https://www.reformhq.com,Workflow automation. Built for logistics.,Active,B2B; Supply Chain and Logistics,11,"San Francisco, CA, USA"
Piramidal,W24,https://www.ycombinator.com/companies/piramidal,https://piramidal.ai,Foundation Model for the Brain,Active,Healthcare,10,"New York, NY, USA"
Junction Bioscience,W24,https://www.ycombinator.com/companies/junction-bioscience,https://www.junction.bio/,AI Hypothesis Engine for Molecular Discovery,Active,Healthcare; Therapeutics,1,
OddsView,W24,https://www.ycombinator.com/companies/oddsview,https://oddsview.com,The Bloomberg Terminal of Sports Betting,Active,Consumer,5,"New York, NY, USA"
Silogy,W24,https://www.ycombinator.com/companies/silogy,https://silogy.io,An AI-powered test and debug platform for chip developers,Active,"B2B; Engineering, Product and Design",3,"New York, NY, USA"
Senso,W24,https://www.ycombinator.com/companies/senso,http://www.senso.ai,Control what AI says about you,Active,B2B,8,"Toronto, ON, Canada"
Eris Biotech,W24,https://www.ycombinator.com/companies/eris-biotech,http://www.erisbio.com,Our drugs engage the immune system to fight tumors,Active,Healthcare; Therapeutics,2,"Lehi, UT, USA"
Powder,W24,https://www.ycombinator.com/companies/powder,https://www.powderfi.com/,AI Agents for precise document analysis,Active,Fintech; Asset Management,6,
OpenFoundry,W24,https://www.ycombinator.com/companies/openfoundry,https://www.openfoundry.ai/,The fastest developer experience for building on open source AI.,Active,"B2B; Engineering, Product and Design",2,"San Francisco, CA, USA"
Polar,W24,https://www.ycombinator.com/companies/polar,https://www.polarfi.com,The smarter way to manage USD earnings globally,Active,Fintech; Consumer Finance,2,"San Francisco, CA, USA"
Penciled,W24,https://www.ycombinator.com/companies/penciled,https://penciled.com,AI front office assistant for physical therapy,Active,Healthcare; Healthcare IT,2,"San Francisco, CA, USA"
Magic Hour,W24,https://www.ycombinator.com/companies/magic-hour,https://magichour.ai,Platform for AI video generation.,Active,Consumer; Content,2,"San Francisco, CA, USA"
Ryse,W24,https://www.ycombinator.com/companies/ryse,https://www.rysemarket.com/,The secondary market for real estate leases,Active,B2B,13,"New York, NY, USA"
Datacurve,W24,https://www.ycombinator.com/companies/datacurve,https://datacurve.ai/,Frontier coding data for training and evaluating LLMs,Active,B2B,4,"San Francisco, CA, USA"
Marblism,W24,https://www.ycombinator.com/companies/marblism,https://marblism.com,AI Employees who love overtime,Active,"B2B; Engineering, Product and Design",5,"San Francisco, CA, USA"
CommodityAI,W24,https://www.ycombinator.com/companies/commodityai,https://commodityai.io/,AI that automates commodity operations,Active,B2B; Operations,6,"San Francisco, CA, USA"
Veles,W24,https://www.ycombinator.com/companies/veles,http://www.getveles.com,The Sales Calculator,Active,B2B; Sales,5,"Santa Barbara, CA, USA"
Miden,W24,https://www.ycombinator.com/companies/miden,http://www.miden.co,Card issuer processor and banking stack for businesses in Sub-…,Active,Fintech,19,"15a Ajanaku St, Opebi, Ikeja 101233, Lagos, Nigeria"
Fluently,W24,https://www.ycombinator.com/companies/fluently,https://getfluently.app/,Your personal English tutor,Active,Consumer,2,
Basepilot,W24,https://www.ycombinator.com/companies/basepilot,https://www.basepilot.com/,"AI coworkers to automate browser work, in minutes.",Active,B2B; Productivity,2,"San Francisco, CA, USA"
Aqua Voice,W24,https://www.ycombinator.com/companies/aqua-voice,https://aquavoice.com,Frontier Voice Input - write 4x faster than typing.,Active,Consumer,5,"San Francisco, CA, USA"
xPay,W24,https://www.ycombinator.com/companies/xpay,https://www.xpaycheckout.com/,"International Billing Ops, Sales Tax and Payments for SaaS businesses",Active,Fintech; Payments,3,
Deepnight,W24,https://www.ycombinator.com/companies/deepnight,https://www.deepnight.ai/,Building The Next Generation of Night Vision Devices,Active,Industrials; Defense,12,"San Francisco, CA, USA"
Vista Power,W24,https://www.ycombinator.com/companies/vista-power,https://vistapower.com,Batteries and solar for $0 upfront to help businesses save money,Active,Industrials; Energy,3,"San Francisco, CA, USA"
Adapted,W24,https://www.ycombinator.com/companies/adapted,https://adapted.app,Helping athletes stay durable,Active,Consumer,2,"San Francisco, CA, USA"
Ocular AI,W24,https://www.ycombinator.com/companies/ocular-ai,https://useocular.com,"AI-Native Data Engine for LLMs, Computer Vision, & Enterprise AI",Active,B2B,6,"San Francisco, CA, USA"
Retell AI,W24,https://www.ycombinator.com/companies/retell-ai,https://retellai.com,Supercharge Your Contact Center Operations with AI Phone Agents,Active,B2B; Infrastructure,24,
Rove,W24,https://www.ycombinator.com/companies/rove,http://rovecard.com,Travel the world for free.,Active,"Consumer; Travel, Leisure and Tourism",4,"New York, NY, USA"
camelAI,W24,https://www.ycombinator.com/companies/camelai,https://camelai.com/,AI Business Intelligence agent. Get actionable insights in minutes.,Active,"B2B; Engineering, Product and Design",3,"San Francisco, CA, USA"
Spark,W24,https://www.ycombinator.com/companies/spark,https://www.sparkhq.ai,AI-powered workflows for energy infrastructure,Active,B2B,5,
Downlink,W24,https://www.ycombinator.com/companies/downlink,https://downlink.dev/,Make your LLMs 3x faster.,Active,B2B; Infrastructure,1,"San Francisco, CA, USA"
Terrakotta,W24,https://www.ycombinator.com/companies/terrakotta,https://www.terrakotta.ai/,AI platform for phone-first sellers,Active,B2B; Sales,5,"Shoreline, WA, USA"
Stacksync,W24,https://www.ycombinator.com/companies/stacksync,https://www.stacksync.com/,Real-time and two-way sync between CRMs and Databases,Active,"B2B; Engineering, Product and Design",9,"San Francisco, CA, USA"
Hatchet,W24,https://www.ycombinator.com/companies/hatchet-run,https://hatchet.run,Background task orchestration and visibility,Active,B2B; Infrastructure,7,"New York, NY, USA"
Shepherd,W24,https://www.ycombinator.com/companies/shepherd-2,https://www.shepherd.study,Every student's personalized learning assistant,Active,Education,5,
Sonauto,W24,https://www.ycombinator.com/companies/sonauto,https://sonauto.ai/,Create hit songs with AI,Active,Consumer; Content,4,
Velorum Therapeutics,W24,https://www.ycombinator.com/companies/velorum-therapeutics,https://www.velorumtx.com/,Breakthrough medicines unlocking the biology of heme,Active,Healthcare; Therapeutics,5,"San Francisco, CA, USA"
Zep AI,W24,https://www.ycombinator.com/companies/zep-ai,https://www.getzep.com/,Agent Context Is Hard. We Fixed It.,Active,B2B,5,"San Francisco, CA, USA"
Openmart,W24,https://www.ycombinator.com/companies/openmart,https://www.openmart.com,Local business data intelligence platform,Active,B2B,6,"Foster City, CA, USA"
Triply,W24,https://www.ycombinator.com/companies/triply,https://business.triply.co/,Operating system for travel businesses in Africa with embedded finance,Active,B2B; Operations,18,"Nairobi, Kenya"
Deep24,W24,https://www.ycombinator.com/companies/deep24,https://deep24.com,AI coach for your entire life,Active,Education,2,
Thorntale,W24,https://www.ycombinator.com/companies/thorntale,https://thorntale.com,"The world's best presentation editor, powered by AI.",Active,B2B; Productivity,2,"San Francisco, CA, USA"
Alai,W24,https://www.ycombinator.com/companies/alai,https://getalai.com,Create high quality presentations quickly using AI,Active,B2B,5,
Lumetric,W24,https://www.ycombinator.com/companies/lumetric,https://www.lumetric.ai,The AI Analyst to Review Your Spreadsheets,Active,B2B,2,"San Francisco, CA, USA"
Sample,W24,https://www.ycombinator.com/companies/sample,https://samplehc.com,Flexible systems for clinical reasoning.,Active,Healthcare; Healthcare IT,5,"San Francisco, CA, USA"
Brainbase Labs,W24,https://www.ycombinator.com/companies/brainbase-labs,https://brainbaselabs.com,The AI Labor Company,Active,B2B,5,"San Francisco, CA, USA"
Focal,W24,https://www.ycombinator.com/companies/focal,https://focalml.com,AI video creation tool for TV shows and movies,Active,Consumer; Content,2,"San Francisco, CA, USA"
Givefront,W24,https://www.ycombinator.com/companies/givefront,https://givefront.com,Nonprofit Financial Management,Active,Fintech; Banking and Exchange,4,
Cleva,W24,https://www.ycombinator.com/companies/cleva,https://www.getcleva.com,USD banking platform for Africa,Active,Fintech,30,"Lagos, Nigeria"
Oma Care,W24,https://www.ycombinator.com/companies/oma-care,https://www.omacare.com,Get paid for taking care of your parents. ,Active,Healthcare; Healthcare Services,2,
Artos,W24,https://www.ycombinator.com/companies/artos,https://www.artosai.com/,"Authoring documents for life sciences in minutes, not months.",Active,B2B,7,
Model ML,W24,https://www.ycombinator.com/companies/model-ml,https://www.modelml.com/,AI Workspace for Financial Services.,Active,B2B,50,"London, UK"
BetterBasket,W24,https://www.ycombinator.com/companies/betterbasket,http://www.betterbasket.com,Smart grocery pricing with AI,Active,B2B; Analytics,5,"San Francisco, CA, USA"
Circleback,W24,https://www.ycombinator.com/companies/circleback,https://circleback.ai,AI-powered meeting notes and automations,Active,B2B; Productivity,8,
JustAI,W24,https://www.ycombinator.com/companies/justai,https://getjust.ai,Agentic Marketing Platform,Active,B2B; Marketing,5,"San Francisco, CA, USA"
Risotto,W24,https://www.ycombinator.com/companies/risotto,https://tryrisotto.com,Risotto auto-solves IT support requests using AI,Active,B2B; Operations,3,"San Francisco, CA, USA"
DianaHR,W24,https://www.ycombinator.com/companies/dianahr,http://www.dianahr.ai,An AI-Powered HR Person ,Active,B2B; Human Resources,3,"156 2nd St, San Francisco, CA 94105, USA"
HeartByte,W24,https://www.ycombinator.com/companies/heartbyte,https://www.storioai.com,GenAI Interactive story. Creator write fictions 10x faster.,Active,Consumer; Content,2,"San Francisco, CA, USA"
Yondu,W24,https://www.ycombinator.com/companies/yondu,https://yondu.ai/,Robots to Automate Fulfillment,Active,Industrials; Manufacturing and Robotics,12,"Los Angeles, CA, USA"
Raindrop,W24,https://www.ycombinator.com/companies/raindrop,https://www.raindrop.ai,Sentry for AI Agents,Active,"B2B; Engineering, Product and Design",6,"San Francisco, CA, USA"
Chunkr,W24,https://www.ycombinator.com/companies/chunkr,https://chunkr.ai/,Open source API service to parse complex documents,Active,"B2B; Engineering, Product and Design",3,
Centauri AI,W24,https://www.ycombinator.com/companies/centauri-ai,https://centauri-ai.tech,The Modern ETL and Data Science Platform for Finance,Active,Fintech; Asset Management,5,
ProSights,W24,https://www.ycombinator.com/companies/prosights,https://prosights.co/,ProSights is an AI-native data extraction tool for financial…,Active,B2B; Productivity,14,"New York, NY, USA"
Manifold Freight,W24,https://www.ycombinator.com/companies/manifold-freight,https://www.manifoldfreight.com/,Aggregating Spot Freight Opportunities for Carriers,Active,B2B; Supply Chain and Logistics,3,"Seattle, WA, USA"
EdgeTrace,W24,https://www.ycombinator.com/companies/edgetrace,https://edgetrace.ai,Describe It. Find It. Act On It.,Active,B2B,4,
Clarum,W24,https://www.ycombinator.com/companies/clarum,https://clarum.ai,"Investment Due Diligence & Research, Accelerated by AI.",Active,B2B; Finance and Accounting,3,"San Francisco, CA, USA"
Opencall.ai,W24,https://www.ycombinator.com/companies/opencall-ai,https://opencall.ai,AI Workforce for Services Businesses,Active,B2B,9,
Voicepanel,W24,https://www.ycombinator.com/companies/voicepanel,https://voicepanel.com,AI agents for customer research,Active,B2B; Analytics,3,
OffDeal,W24,https://www.ycombinator.com/companies/offdeal,https://offdeal.io,AI-native investment bank for small businesses,Active,B2B,15,"New York, NY, USA"
Delve,W24,https://www.ycombinator.com/companies/delve,https://delve.co/?utm_source=yc&utm_medium=bio&utm_campaign=delve,AI that makes compliance effortless,Active,B2B; Security,33,"San Francisco, CA, USA"
Andy AI,W24,https://www.ycombinator.com/companies/andy-ai,https://with-andy.com,Faster clinical documentation for home health nurses,Active,Healthcare; Healthcare IT,5,"380 Alabama St, San Francisco, CA 94110, USA"
Hazel,W24,https://www.ycombinator.com/companies/hazel-2,https://hazelai.com,AI-enabled procurement for government,Active,Government,5,"New York, NY, USA"
Shiboleth,W24,https://www.ycombinator.com/companies/shiboleth,https://www.shiboleth.ai/,Shiboleth automates lending compliance for financial institutions…,Active,B2B; Security,5,
Aftercare,W24,https://www.ycombinator.com/companies/aftercare,https://getaftercare.com,Conversational AI surveys with intelligent follow-up questions,Active,B2B,3,"San Francisco, CA, USA"
Soundry AI,W24,https://www.ycombinator.com/companies/soundry-ai,https://soundry.ai/,Professional Quality AI Music Creation,Active,Consumer; Content,3,"Seattle, WA, USA"
Elodin,W24,https://www.ycombinator.com/companies/elodin,https://elodin.systems/,Unified flight software and hardware for the mission of tomorrow,Active,Industrials; Aviation and Space,5,"San Francisco, CA, USA"
Conduit,W24,https://www.ycombinator.com/companies/conduit-ai,https://conduit.ai/?utm_source=referral&utm_medium=organic&utm_campaign=ycombinator,Conversational AI agents for Customer Service.,Active,B2B,18,"San Francisco, CA, USA"
Tensorfuse,W24,https://www.ycombinator.com/companies/tensorfuse,https://www.tensorfuse.io/,Run serverless GPUs on your own cloud,Active,"B2B; Engineering, Product and Design",2,
Toma,W24,https://www.ycombinator.com/companies/toma,http://www.toma.com/,AI for Underserved Industries,Active,B2B; Operations,20,"San Francisco, CA, USA"
Carma,W24,https://www.ycombinator.com/companies/carma,https://www.joincarma.com/,The AI Operating System For Modern Fleets.,Active,B2B; Operations,15,"San Francisco, CA, USA"
Preloop,W24,https://www.ycombinator.com/companies/preloop,https://www.preloop.com,Translate your experimental scripts into production ML services,Active,"B2B; Engineering, Product and Design",2,
Superagent,W24,https://www.ycombinator.com/companies/superagent,https://superagent.sh/,Red teaming for AI agents,Active,B2B; Security,2,"800 Indiana St, San Francisco, CA 94107, USA"
Bilanc,W24,https://www.ycombinator.com/companies/bilanc,https://www.bilanc.co,AI-Powered Engineering Productivity,Active,"B2B; Engineering, Product and Design",3,
Sagaland,W24,https://www.ycombinator.com/companies/sagaland,https://sagaland.ai,Interactive Fiction,Active,Consumer,2,"2261 Market St #5744, San Francisco, CA 94114, USA"
Browser Buddy,W24,https://www.ycombinator.com/companies/browser-buddy,https://www.browserbuddy.com/,A recommendation system for great Internet writing,Active,Consumer; Content,2,"San Francisco, CA, USA"
Astro Mechanica,W24,https://www.ycombinator.com/companies/astro-mechanica,https://astromecha.co/,Supersonics for the new Jet Age,Active,Industrials; Aviation and Space,52,"San Francisco, CA, USA"
CodeAnt AI,W24,https://www.ycombinator.com/companies/codeant-ai,https://codeant.ai/,AI Code Health Platform,Active,"B2B; Engineering, Product and Design",10,"San Francisco, CA, USA"
Draftaid,W24,https://www.ycombinator.com/companies/draftaid,https://draftaid.io/,Go from 3D models to CAD drawings using AI,Active,"B2B; Engineering, Product and Design",3,"Toronto, ON, Canada"
Metofico,W24,https://www.ycombinator.com/companies/metofico,https://metofico.com/,No Code Data Analysis for Life Science Research,Active,"B2B; Engineering, Product and Design",2,"London, UK"
Ellipsis,W24,https://www.ycombinator.com/companies/ellipsis,https://ellipsis.dev,AI code reviews & bug fixes,Active,"B2B; Engineering, Product and Design",2,
Dime,W24,https://www.ycombinator.com/companies/dime-2,https://www.dimehealth.ai/,Dime automates administrative busywork at healthcare clinics,Active,B2B,5,"New York, NY, USA"
Solari AI,W24,https://www.ycombinator.com/companies/solari-ai,https://www.usesolari.ai/,Gives non-technical team members agents that work right out of the box,Active,"B2B; Engineering, Product and Design",1,"New York, NY, USA"
Pythagora,W24,https://www.ycombinator.com/companies/pythagora,https://pythagora.ai/,Worlds first all-in-one AI development platform.,Active,"B2B; Engineering, Product and Design",7,
Open,W24,https://www.ycombinator.com/companies/open,https://open.cx,Enterprise AI customer support,Active,"B2B; Engineering, Product and Design",7,"San Francisco, CA, USA"
Aedilic,W24,https://www.ycombinator.com/companies/aedilic,https://www.nonescape.com,Open-Source AI-generated image/deepfake detection,Active,B2B; Security,2,"San Francisco, CA, USA"
Salvy,W24,https://www.ycombinator.com/companies/salvy,https://www.salvy.com.br,Mobile carrier for businesses in Brazil,Active,B2B; Operations,27,"Curitiba, State of Paraná, Brazil"
Centralize,W24,https://www.ycombinator.com/companies/centralize,https://www.usecentralize.com/,The AI-powered deal collaboration platform for high ACV revenue teams,Active,B2B; Sales,6,"San Francisco, CA, USA"
phospho,W24,https://www.ycombinator.com/companies/phospho,https://phospho.ai,Give brains to robots,Active,B2B,2,"San Francisco, CA, USA"
Firebender,W24,https://www.ycombinator.com/companies/firebender,https://firebender.com,Most powerful coding agent for Android engineers,Active,"B2B; Engineering, Product and Design",5,
Aether,W24,https://www.ycombinator.com/companies/aether,https://www.tryaether.co/,AI sales platform for home services,Active,"B2B; Engineering, Product and Design",8,"San Francisco, CA, USA"
Parallel,W24,https://www.ycombinator.com/companies/parallel,https://www.beparallel.com/?utm_source=ycombinator&utm_medium=directory,AI agents for healthcare admin,Active,Healthcare; Healthcare IT,6,"Paris, France"
Vibrant Labs,W24,https://www.ycombinator.com/companies/vibrant-labs,https://vibrantlabs.com/,RL environments for long horizon AI Agents,Active,B2B; Infrastructure,2,"San Francisco, CA, USA"
sync.,W24,https://www.ycombinator.com/companies/sync-2,https://sync.so/,AI lipsync tool for video content creators,Active,B2B,13,"San Francisco, CA, USA"
PandasAI,W24,https://www.ycombinator.com/companies/pandasai,https://pandas-ai.com,PandasAI is an open-source conversational data analysis platform with…,Active,B2B; Analytics,3,"Munich, Germany"
Infinity,W24,https://www.ycombinator.com/companies/infinity,https://www.infinityapp.in/,Business banking for cross-border SMBs & Startups,Active,Fintech; Payments,15,"Bengaluru, Karnataka, India"
InQuery,W24,https://www.ycombinator.com/companies/inquery-2,https://www.inquery.ai/,Intelligent Medical Record Reviews,Active,Healthcare; Healthcare IT,4,
14.ai,W24,https://www.ycombinator.com/companies/14-ai,https://14.ai,AI Customer Service Agency for Your B2C Business,Active,B2B; Infrastructure,3,"San Francisco, CA, USA"
Tamarind Bio,W24,https://www.ycombinator.com/companies/tamarind-bio,https://www.tamarind.bio,AI Inference Platform for Drug Discovery,Active,B2B,10,
Clarion,W24,https://www.ycombinator.com/companies/clarion,https://clarionhealth.com,The AI communication layer for healthcare,Active,Healthcare; Healthcare IT,14,"New York, NY, USA"
Consul,W24,https://www.ycombinator.com/companies/consul,https://onconsul.com,The Stablecoin Payouts Platform,Active,Fintech; Payments,2,"New York, NY, USA"
Scout,W24,https://www.ycombinator.com/companies/cpgscout,https://cpgscout.ai/,AI insights for consumer products,Active,B2B; Retail,3,"San Francisco, CA, USA"
Decipher AI,W24,https://www.ycombinator.com/companies/decipher-ai,https://getdecipher.com,QA agents that write tests 10x faster with zero maintenance,Active,"B2B; Engineering, Product and Design",4,"San Francisco, CA, USA"
LemonSlice,W24,https://www.ycombinator.com/companies/lemonslice,https://www.lemonslice.com,Give your voice agents a face,Active,B2B,8,"California St, San Francisco, CA, USA"
Pillar,W24,https://www.ycombinator.com/companies/trypillar,https://trypillar.com/,Your App's Copilot,Active,"B2B; Engineering, Product and Design",,"San Francisco, CA, USA"
Speck,W24,https://www.ycombinator.com/companies/speck,https://speck.sh,AI Notetaker that automates all your admin work,Active,B2B; Productivity,3,"San Francisco, CA, USA"
Guide Labs,W24,https://www.ycombinator.com/companies/guide-labs,https://www.guidelabs.ai/,Interpretable AI models and agents,Active,B2B,9,"San Francisco, CA, USA"
OmniAI,W24,https://www.ycombinator.com/companies/omniai,https://getomni.ai,AI Agents for Commercial Lending,Active,B2B; Finance and Accounting,5,"San Francisco, CA, USA"
Respan,W24,https://www.ycombinator.com/companies/respan,https://respan.ai,"Self-driving observability, evals, and gateway for AI agents",Active,B2B; Infrastructure,10,"San Francisco, CA, USA"
PromptArmor,W24,https://www.ycombinator.com/companies/promptarmor,https://promptarmor.com/,LLM Security and Compliance,Active,B2B; Security,,
Zaymo,W24,https://www.ycombinator.com/companies/zaymo,https://zaymo.com,Interactive email builder for ecommerce brands,Active,B2B; Marketing,11,"Lehi, UT, USA"
Glimmer,W24,https://www.ycombinator.com/companies/glimmer,https://www.withglimmer.com/,AI search for massive PDFs,Active,B2B,2,"San Francisco, CA, USA"
Meticulate,W24,https://www.ycombinator.com/companies/meticulate,https://meticulate.ai/,Making it easy for B2B sales teams to send stellar outbound,Active,B2B,5,"San Francisco, CA, USA"
CloudCruise,W24,https://www.ycombinator.com/companies/cloudcruise,https://cloudcruise.com,The developer platform for fast and reliable browser agents,Active,B2B,3,"San Francisco, CA, USA"
Attunement,W24,https://www.ycombinator.com/companies/attunement,http://attunement.ai,"We automate compliance for behavioral health, saving clinicians hours…",Active,Healthcare,3,"San Francisco, CA, USA"
Lucite,W24,https://www.ycombinator.com/companies/lucite,https://www.lucite.ai/,Supercharging Insurance Brokers & Advisors,Active,B2B,4,"New York, NY, USA"
OneGrep,W24,https://www.ycombinator.com/companies/onegrep,https://www.onegrep.dev,AI Agent for DevOps Workflow Automation,Active,"B2B; Engineering, Product and Design",2,"New York, NY, USA"
Tusk,W24,https://www.ycombinator.com/companies/tusk,https://usetusk.ai,AI agent that generates unit and integration tests,Active,"B2B; Engineering, Product and Design",4,"San Francisco, CA, USA"
PartnerHQ,W24,https://www.ycombinator.com/companies/partnerhq,https://trypartnerhq.com,A marketplace for B2B businesses to buy warm intros. ,Active,B2B; Sales,4,
atopile,W24,https://www.ycombinator.com/companies/atopile,http://atopile.io,We make tools to design electronics circuit boards with code,Active,"B2B; Engineering, Product and Design",5,"San Francisco, CA, USA"
Copper Health,W24,https://www.ycombinator.com/companies/copper-health,https://www.copperhealth.co/,Modern patient engagement and remote therapeutic monitoring platform,Active,Healthcare; Healthcare IT,2,"San Francisco, CA, USA"
SynsoryBio,W24,https://www.ycombinator.com/companies/synsorybio,https://www.synsorybio.com/,"""If-then"" conditional logic for protein drugs",Active,Healthcare; Therapeutics,2,"Cambridge, MA, USA"
Yoneda Labs,W24,https://www.ycombinator.com/companies/yoneda-labs,https://www.yonedalabs.com,Foundation Model for Chemical Manufacturing,Active,B2B,3,
TokenOwl,W24,https://www.ycombinator.com/companies/tokenowl,https://tokenowl.ai,AI portfolio tools for the next generation of finance,Active,Fintech,2,"New York, NY, USA"
Topo,W24,https://www.ycombinator.com/companies/topo,https://www.topo.io/,AI Agents for outbound working by your side,Active,B2B; Sales,12,"Paris, France"
Trellis AI,W24,https://www.ycombinator.com/companies/trellis-ai,https://runtrellis.com/,AI for streamlining healthcare paperwork,Active,B2B,25,
Ecliptor,W24,https://www.ycombinator.com/companies/ecliptor,https://ecliptor.ai,AI and Embeddings. ,Active,B2B; Sales,2,"San Francisco, CA, USA"
Greenboard,W24,https://www.ycombinator.com/companies/greenboard,https://www.greenboard.com,Modern OS for the financial back office. ,Active,Fintech,26,"New York, NY, USA"
Eggnog,W24,https://www.ycombinator.com/companies/eggnog,https://www.eggnog.ai,Youtube for AI-generated content,Active,Consumer,2,"New York, NY, USA"
Artisan,W24,https://www.ycombinator.com/companies/artisan,https://artisan.co/?utm_source=ycombinator,"AI employees called Artisans, starting with an AI BDR",Active,B2B,37,"San Francisco, CA, USA"
Octolane AI,W24,https://www.ycombinator.com/companies/octolane-ai,https://www.octolane.com,Self-Driving AI CRM,Active,B2B; Sales,5,"San Francisco, CA, USA"
