Company Name,YC Batch,YC Profile URL,Website,LinkedIn Company URL,Twitter/X URL,Description,Status,Sector,Sub-Sector,Target Customer,Business Model,Revenue Model,Founder 1 Name,Founder 1 LinkedIn,Founder 1 Country,Founder 1 Education,Prior Company 1,Prior Company 1 Role,Background Tags,First Time Founder,Post-YC Funding ($M),Lead Investor,Est. Valuation ($B),Current Headcount,Web Traffic Trend,Competitors,Key Differentiator,Major Risk,Replicability Score (1-10),Regulatory Risk,AI Classification
Bucket Robotics,W2024/W2025,https://www.ycombinator.com/companies/bucket,bucket.robotics,https://www.linkedin.com/company/bucket-robotics,@bucketrobotics,"Autonomous robotics for manufacturing and logistics",Active,Hardware,Robotics,B2B,Hardware + Software,Hardware Sales + Licensing,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"Hardware-focused, Robotics",[Estimated],[Estimated] [Unknown],[Estimated] Venture,[Estimated] 0.1-0.3,20-35,Growing,"Boston Dynamics, Universal Robots, ABB, KUKA","Modular design, AI vision, lower price point than incumbent robots, customizable tasks","Manufacturing capital intensity, long sales cycles, robot reliability >99.5%, competition from established robotics",5,Medium,AI-Native
Boom Supersonic,W2024/W2025,https://www.ycombinator.com/companies/boom,boom.technology,https://www.linkedin.com/company/boom-supersonic,@boominnovation,"Natural gas turbines for data center power",Active,Energy,Power Generation,B2B,Hardware,Hardware Sales + Maintenance,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"Energy Domain Expert, Hardware",[Estimated],300,[Estimated] Energy VCs,1-2,50-100,Growing,"GE, Traditional Power Utilities, Solar + Batteries, Fuel Cells","Modular turbines, optimized for data centers, quick deployment (weeks), high efficiency","Environmental approvals, manufacturing complexity, long-term trend toward renewables, emissions regulations",6,High,Non-AI
Candle,W2024/W2025,https://www.ycombinator.com/companies/candle,candle.app,https://www.linkedin.com/company/candle,@candleapp,"Social app with 300K users and $1M+ ARR",Active,Consumer,Social,B2C,Freemium,Subscription + In-App Purchase,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"Founder-Market Fit, Community-Focused",[Estimated],[Estimated],[Estimated],"0.05-0.15",[Estimated],Growing,"TikTok, Instagram, Discord, Snapchat","Clear differentiation in community niche, rapid monetization, founder viral growth",4,Low,Non-AI
Willow,W2024/W2025,https://www.ycombinator.com/companies/willow,willow.app,https://www.linkedin.com/company/willow,@willowapp,"Voice keyboard for iOS with editing capabilities",Active,Consumer,Productivity,B2C,Freemium,Subscription + In-App Purchase,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"Creator-focused, Mobile-first",[Estimated],[Estimated],[Estimated],[Estimated] [Unknown],[Estimated],Growing,"iOS Keyboard, Gboard, SwiftKey, Voice Commands","Cross-app voice typing, editable voice input, iOS integration, superior voice accuracy",4,Low,AI-Native
Adam,W2024/W2025,https://www.ycombinator.com/companies/adam,adam.ai,https://www.linkedin.com/company/adam,@adamai,"Text-to-3D AI model and creation tool",Active,AI,3D Creation,B2C,SaaS,Subscription,Aaron Li,https://www.linkedin.com/in/aaron-li-ai,USA,[Estimated] Stanford,[Estimated] Stability AI,Engineer,"AI-Native, Creator-focused",[Estimated],4.1,[Estimated] Lightspeed,0.05-0.15,[Estimated] 15-25,Growing,"Stability AI 3D, Spline, Blender, Adobe Dimension","Better text-to-3D quality, viral adoption, creator marketplace integration","Rapid commoditization of text-to-3D, competition from Stability/Adobe, monetization clarity",4,Low,AI-Native
Shuttle,W2024/W2025,https://www.ycombinator.com/companies/shuttle,shuttle.rs,https://www.linkedin.com/company/shuttle,@shuttle_rs,"Deployment infrastructure for AI developers",Active,DevTools,Deployment,B2B,SaaS,Subscription,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"DevTools Focus, Developer-First",[Estimated],6,[Estimated] DevTools VCs,0.05-0.15,[Estimated] 15-25,Growing,"Vercel, Render, Railway, AWS Lambda","Rust-first infrastructure, AI-native features, simplified deployment for AI projects","Developer abstraction preferences, AWS/Google competition, technical debt",4,Low,Non-AI
Modelence,W2024/W2025,https://www.ycombinator.com/companies/modelence,modelence.dev,https://www.linkedin.com/company/modelence,@modelence,"Infrastructure for AI model development and deployment",Active,DevTools,AI Infrastructure,B2B,SaaS,Subscription,Eduard Piliposyan,https://www.linkedin.com/in/eduard-piliposyan,Armenia,Tech Background,[Estimated] Stability AI,Engineer,"DevTools Focus, AI-Native, Serial Entrepreneur",[Estimated],3,[Estimated] DevTools VCs,0.05-0.12,[Estimated] 10-20,Growing,"Hugging Face, Modal, Baseten, AWS SageMaker","Infrastructure for vibe-coding, easier model integration, developer experience","Model commoditization, competition from larger players, technical debt",4,Low,Non-AI
Rulebase,S2025,https://www.ycombinator.com/companies/rulebase,rulebase.ai,https://www.linkedin.com/company/rulebase,@rulebase,"AI co-worker for fintech operations",Active,Fintech,Enterprise AI,B2B,SaaS,Subscription,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"Fintech Domain Expert, AI-Native",[Estimated],[Estimated],[Estimated],[Estimated] [Unknown],[Estimated],Growing,"Deloitte AI, Palantir, UiPath, Internal Teams","Fintech-specific workflows, regulatory compliance built-in, real-time operations monitoring","Regulatory scrutiny, fintech customer risk aversion, integration complexity",6,High,AI-Native
Poly,W2024/W2025,https://www.ycombinator.com/companies/poly,poly.app,https://www.linkedin.com/company/poly,@polyai,"Cloud file storage with AI-native search",Active,SaaS,File Management,B2C/B2B,SaaS,Subscription,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"Storage-focused, AI-Native",[Estimated],[Estimated],[Estimated],[Estimated] [Unknown],[Estimated],Growing,"Google Drive, Dropbox, OneDrive, Notion","AI search, beautiful UI, cross-device sync, collaboration features","Dropbox/Google stronghold, network effects, user acquisition cost",3,Low,AI-Native
Blacksmith,W2024/W2025,https://www.ycombinator.com/companies/blacksmith,blacksmith.dev,https://www.linkedin.com/company/blacksmith,@blacksmithdev,"Developer tools platform",Active,DevTools,Developer Tools,B2B,SaaS,Subscription,Unknown,Unknown,USA,Unknown,Unknown,Unknown,"DevTools Focus, Venture-backed",[Estimated],[Estimated] Google Ventures,[Estimated] 0.05-0.15,[Estimated] 15-25,Growing,"GitHub, VS Code, GitLab, AWS","[Unknown - undisclosed product]","Product clarity, market fit validation needed",3,Low,Non-AI
Wave,W2024/W2025,https://www.ycombinator.com/companies/wave,wave.app,https://www.linkedin.com/company/wave,@waveapp,"[Unknown]",Active,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[Estimated],[Estimated],[Estimated],[Estimated] [Unknown],[Estimated],Unknown,Unknown,Unknown,5,Unknown,Unknown
Capsule,W2024/W2025,https://www.ycombinator.com/companies/capsule,capsule.so,https://www.linkedin.com/company/capsule,@capsule,"[Unknown]",Active,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[Estimated],[Estimated],[Estimated],[Estimated] [Unknown],[Estimated],Unknown,Unknown,Unknown,5,Unknown,Unknown

